Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
184712	16 Juni 2022	Tanya-SC	PPh	pegawai baru bekerja tgl 23 mei tapi baru terima gaji+rapel bulan juni. Untuk perhitungan pajak masa kerjanya dihitung sejak mei atau sejak juni ya?	Sesuai kontrak kerjanya ya, kalo memang kontrak kerjanya mulai mei, maka mulai mei. Untuk penghitungan pemotongannya mengenai rapel cek lampiran per-16/2016	Sesuai kontrak kerjanya ya, kalo memang kontrak kerjanya mulai mei, maka mulai mei. Untuk penghitungan pemotongannya mengenai rapel cek lampiran per-16/2016	RIGAR TABAH PRIMADANA
184713	16 Juni 2022	Tanya-SC	PPN	Bagaiman Untuk pengajuan SKTD ata Jasa Sewa? Apakah bisa melalui DJP Online? Karena kami cek hanya terkait atas impor barang	Di pasal.6 ayat 3 kalo jasa yg ayat 4 kan tetep harus buat sktd ya, seharusnya ada, coba dipandu sesuai dengan PPT ya	Di pasal.6 ayat 3 kalo jasa yg ayat 4 kan tetep harus buat sktd ya, seharusnya ada, coba dipandu sesuai dengan PPT ya	RIGAR TABAH PRIMADANA
184714	16 Juni 2022	Tanya-SC	PPN	Atas bukti potong PPh Pasal 23 yg diterima namun belum dilaporkan oleh pemotong, apakah tetap bisa dikreditkan? Konsekuensi bagi pemotong dan yg dipotong apa ya, Mas/Mbak? Terima kasih	Sebenernya kalo sudah dipotong dan mendapat bukti potong, silakan dikreditkan. Tapi khawatir nanti ada masalah pas pemeriksaan baiknya konsultasi dulu sama kpp. Konsekuensinya lebih ke pemotong, ada potensi telat lapor dan telat setor bagi pemotong apabila telat lapor spt dan telat setor pph 23 atau bisa kena pemeriksaan kalo sptnya udah dilapor tapi ada pajak yang terutang tidak atau kurang dibayar.	Sebenernya kalo sudah dipotong dan mendapat bukti potong, silakan dikreditkan. Tapi khawatir nanti ada masalah pas pemeriksaan baiknya konsultasi dulu sama kpp. Konsekuensinya lebih ke pemotong, ada potensi telat lapor dan telat setor bagi pemotong apabila telat lapor spt dan telat setor pph 23 atau bisa kena pemeriksaan kalo sptnya udah dilapor tapi ada pajak yang terutang tidak atau kurang dibayar.	RIGAR TABAH PRIMADANA
184715	16 Juni 2022	Tanya-SC	E-Faktur	selamat siang, saya input pps kebijakan ke 2 6.610.093 x 14% = 925.413 harusnya yang betul 10.384.743 x 14% = 1.453.864 maka lebih setor 528.451 saya tidak bisa lapor PPS pembetulan karena ketika saya input ntpn yang sama, tidak bisa. mohon solusinya jika saya meminta pemgembalian kelebihan pembayaran bagaimana alur nya dan berapa lama prosesnya?	Ini mungkin maksudnya yg bener 925.413 tapi pas pemberitahuan pertamanya malah 1.453.864 ya mbak, terus jadi lebih setor. Kalo kaya gitu, pas pemberitahuan kedua di draftnya seharusnya nilai PPh final terutang lebih kecil dari nilai PPh final yg telah dibayar, jadi gak perlu input lagi NTPNnya. Lalu sesuai pasal 11 ayat (5) huruf b PMK-196/2021, bisa diajukan pengembalian atas kelebihan pembayaran pajak yang seharusnya tidak terutang atau melakukan pemindahbukuan. Untuk pengembalian atas kelebihan pembayaran pajak yang seharusnya tidak terutang alurnya bisa dijelaskan sesuai pmk-187/2015 mbak.	Ini mungkin maksudnya yg bener 925.413 tapi pas pemberitahuan pertamanya malah 1.453.864 ya mbak, terus jadi lebih setor. Kalo kaya gitu, pas pemberitahuan kedua di draftnya seharusnya nilai PPh final terutang lebih kecil dari nilai PPh final yg telah dibayar, jadi gak perlu input lagi NTPNnya. Lalu sesuai pasal 11 ayat (5) huruf b PMK-196/2021, bisa diajukan pengembalian atas kelebihan pembayaran pajak yang seharusnya tidak terutang atau melakukan pemindahbukuan. Untuk pengembalian atas kelebihan pembayaran pajak yang seharusnya tidak terutang alurnya bisa dijelaskan sesuai pmk-187/2015 mbak.	RIGAR TABAH PRIMADANA
184716	05 Januari 2022	Tanya-SC	PPh	metode gross up bagaimana cara penghitungannya?	tata cara penghitungan PPh terutang menggunakan metode gross up tidak diatur dalam peraturan. Silakan menggunakan contoh penghitungan di PER-16/2016 yg tersedia atau jika ingin konsultasi mengenai metode gross up (seperti kasus pada email wp tsb) silakan diarahkan ke kpp,	tata cara penghitungan PPh terutang menggunakan metode gross up tidak diatur dalam peraturan. Silakan menggunakan contoh penghitungan di PER-16/2016 yg tersedia atau jika ingin konsultasi mengenai metode gross up (seperti kasus pada email wp tsb) silakan diarahkan ke kpp,	ELFAN FAUZI AKBAR
184717	05 Januari 2022	Tanya-SC	PPh	lapisan tarif PPh yang baru?	•sampai dengan Rp60.000.000,00 (enam puluh juta rupiah) : 5% (lima persen) •di atas Rp60.000.000,00 (enam puluh juta rupiah) sampai dengan Rp250.000.000,00 (dua ratus lima puluh juta rupiah) : 15% (lima belas persen) •di atas Rp250.000.000,00 (dua ratus lima puluh juta rupiah) sampai dengan Rp500.000.000,00 (lima ratus juta rupiah) : 25% (dua puluh lima persen) •di atas Rp500.000.000,00 (lima ratus juta rupiah) sampai dengan Rp5.000.000.000,00 (lima miliar rupiah) : 30% (tiga puluh persen) •di atas Rp5.000.000.000,00 (lima miliar rupiah) : 35% (tiga puluh lima persen)	•sampai dengan Rp60.000.000,00 (enam puluh juta rupiah) : 5% (lima persen) •di atas Rp60.000.000,00 (enam puluh juta rupiah) sampai dengan Rp250.000.000,00 (dua ratus lima puluh juta rupiah) : 15% (lima belas persen) •di atas Rp250.000.000,00 (dua ratus lima puluh juta rupiah) sampai dengan Rp500.000.000,00 (lima ratus juta rupiah) : 25% (dua puluh lima persen) •di atas Rp500.000.000,00 (lima ratus juta rupiah) sampai dengan Rp5.000.000.000,00 (lima miliar rupiah) : 30% (tiga puluh persen) •di atas Rp5.000.000.000,00 (lima miliar rupiah) : 35% (tiga puluh lima persen)	ELFAN FAUZI AKBAR
184718	05 Januari 2022	Tanya-SC	E-SPT	gagal akses db pada saat login epst 21 kenapa ya?	terkait espt PPh 21. Disarankan untuk unduh dan install Microsoft access database engine 2007, karena khawatir nya db nya dia ga kebaca di perangkat yg dia gunakan	terkait espt PPh 21. Disarankan untuk unduh dan install Microsoft access database engine 2007, karena khawatir nya db nya dia ga kebaca di perangkat yg dia gunakan	ELFAN FAUZI AKBAR
184719	05 Januari 2022	Tanya-SC	PPh	perpres yang mengatur P3B indo-singapura dan indo-UEA ada dimana ya?	perpres Indo-singapur ada di Perpres 35 tahun 2021, kalau perpres indo-uni emirat Arab ada di Perpres 34 tahun 2021.	perpres Indo-singapur ada di Perpres 35 tahun 2021, kalau perpres indo-uni emirat Arab ada di Perpres 34 tahun 2021.	ELFAN FAUZI AKBAR
184720	05 Januari 2022	Tanya-SC	PPh	Apakah P3B indi-UEA sudah diratifikasi?	Untuk ratifikasi P3B Indonesia-Uni Emirates Arab yang baru masih belum berlaku, karena masih menunggu terbitnya SE.	Untuk ratifikasi P3B Indonesia-Uni Emirates Arab yang baru masih belum berlaku, karena masih menunggu terbitnya SE.	ELFAN FAUZI AKBAR
184721	05 Januari 2022	Tanya-SC	E-Faktur	upload dokumen SPPB 2.7 apakah sudah bisa?	saat ini belum difasilitasi. bisa konfirmasi ke KPP dulu	saat ini belum difasilitasi. bisa konfirmasi ke KPP dulu	ELFAN FAUZI AKBAR
184722	05 Januari 2022	Tanya-SC	E-Faktur	wp membuat FP keluaran, namun di administrasi daftar faktur pajak keluarannya tidak ada. kenapa?	coba difilter dulu, seharusnya ada	coba difilter dulu, seharusnya ada	ELFAN FAUZI AKBAR
184723	05 Januari 2022	Tanya-SC	PPh	Investasi PPS kemana ya?	di bidang hilirisasi SDA dan/atau renewable energy	di bidang hilirisasi SDA dan/atau renewable energy	ELFAN FAUZI AKBAR
184724	16 Juni 2022	Tanya-SC	PPN	Min... Mau tanxa... Apa bayar pajak skrg tanpa pakai npwp rekanan??? Contoh nya seperti ini Beli printer seharga 6juta udh termasuk pajak PPN 11% (NPWP INSTANSI) PPh 1.5% (NPWP instansi juga kah????	Bisa kakak sampaikan pemakaian npwp rekanan yg kakak maksud dalam hal pembuatan bukti pungut pph pasal 22 atau pada saat penyetoran PPh dan/atau PPN yang sudah dipungut instansi pemerintah? Apabila dalam hal penyetoran pajak yang sudah dipungut, sesuai lampiran PMK-59/2022 a. Untuk Pemungutan PPh Pasal 22, wajib disetor oleh Instansi Pemerintah ke kas negara melalui pos persepsi, bank devisa persepsi, atau bank persepsi yang ditunjuk oleh Menteri, dengan menggunakan surat setoran pajak atau sarana administrasi lain yang disamakan dengan surat setoran pajak atas nama rekanan pemerintah. b. Untuk PPN, Instansi Pemerintah menyetor PPN atau PPN dan PPnBM yang telah dipungut ke kas negara dengan menggunakan surat setoran pajak atau sarana administrasi lain yang disamakan dengan surat setoran pajak atas nama lnstansi Pemerintah.	Bisa kakak sampaikan pemakaian npwp rekanan yg kakak maksud dalam hal pembuatan bukti pungut pph pasal 22 atau pada saat penyetoran PPh dan/atau PPN yang sudah dipungut instansi pemerintah? Apabila dalam hal penyetoran pajak yang sudah dipungut, sesuai lampiran PMK-59/2022 a. Untuk Pemungutan PPh Pasal 22, wajib disetor oleh Instansi Pemerintah ke kas negara melalui pos persepsi, bank devisa persepsi, atau bank persepsi yang ditunjuk oleh Menteri, dengan menggunakan surat setoran pajak atau sarana administrasi lain yang disamakan dengan surat setoran pajak atas nama rekanan pemerintah. b. Untuk PPN, Instansi Pemerintah menyetor PPN atau PPN dan PPnBM yang telah dipungut ke kas negara dengan menggunakan surat setoran pajak atau sarana administrasi lain yang disamakan dengan surat setoran pajak atas nama lnstansi Pemerintah.	RIGAR TABAH PRIMADANA
184725	17 Juni 2022	Tanya-SC	PPN	mas mba izin, sebelumnya wp dapat faktur pajak masukan dari jasa ekspedisi dengan tarif 1.1% kodenya 04. sekarang faktur pajak masukan dari perusahaan ekspedisi yg sebelumnya menggunakan kode 04 sekarang menggunakan kode 05. yg jadi pertanyaan saya apakah faktur pajak masukan dengan kode 05 tersebut boleh dikreditkan. sebagai informasi perusahaan tmpat saya bekerja bukan perusahaan ekspedisi	Jasa ekspedisi ini maksudnya jasa pengiriman paket di pasal 2 ayat 1 PMK 71/2022 mbak? faktur pajak 05 atas penyerahan jasa pengiriman paket bisa dikreditkan oleh penerima/pengguna jasa pengiriman paketnya, kembalikan juga ke pasal 9 ayat 8 UU PPN sttd UU HPP yaa.	Jasa ekspedisi ini maksudnya jasa pengiriman paket di pasal 2 ayat 1 PMK 71/2022 mbak? faktur pajak 05 atas penyerahan jasa pengiriman paket bisa dikreditkan oleh penerima/pengguna jasa pengiriman paketnya, kembalikan juga ke pasal 9 ayat 8 UU PPN sttd UU HPP yaa.	RIGAR TABAH PRIMADANA
184726	17 Juni 2022	Tanya-SC	Lainnya	mas mba izin untuk buat kode billing PPS, misal sy mau bayar 100jt dan saya buat billingnya terpecah bisa tdk y? misal masing2 50jt	bisa mbak, tapi bisanya yg milih buat billing di luar aplikasi pps. kalo di aplikasi pps cuma bisa keluar atas jumlah totalnya aja. Kalo di luar aplikasi pps ini bisa tambah lagi, setelah input pembayaran yang pertama. cuman kita sarankan kalo bisa lewat aplikasi pps aja ya untuk meminimalisir kesalahan pembayaran.	bisa mbak, tapi bisanya yg milih buat billing di luar aplikasi pps. kalo di aplikasi pps cuma bisa keluar atas jumlah totalnya aja. Kalo di luar aplikasi pps ini bisa tambah lagi, setelah input pembayaran yang pertama. cuman kita sarankan kalo bisa lewat aplikasi pps aja ya untuk meminimalisir kesalahan pembayaran.	RIGAR TABAH PRIMADANA
184727	17 Juni 2022	Tanya-SC	Lainnya	mas/mbak kalo wp mau buat NPWP untuk perseroan perorangan, pilihnya yang untuk badan kan ya? terus pilih apa ya mas/mbak? kata wp nya gaada pilihan perseroan perorangan soalnya	bentuknya bisa pilih Perseroan Lainnya	bentuknya bisa pilih Perseroan Lainnya	RIGAR TABAH PRIMADANA
184728	05 Januari 2022	Tanya-SC	E-Faktur	FP 070. REJECT: Etax API 10030 Dokumen bukan merupakan penyerahan BKP atau JKP	pastikan ke bc dokumennya adalah dokumen penyerahan bkp/jkp bukan penyerahan lainnya	pastikan ke bc dokumennya adalah dokumen penyerahan bkp/jkp bukan penyerahan lainnya	ELFAN FAUZI AKBAR
184729	17 Juni 2022	Tanya-SC	PPh	Kalau konstruksi satu kontrak. Tetapi pengerjaan dan pembayarannya bertahap. Pertama des 2021. Kedua april 2022. Tarifnya mengikuti ketentuan lama seterusnya atau pembayaran tahap kedua tarifnya berubah ke pp9 ya?	Pasal 11 PP 9 2022 ya mas: Terhadap kontrak yang ditandatangani sebelum Peraturan Pemerintah ini diundangkan berlaku ketentuan sebagai berikut: a. untuk pembayaran kontrak atau bagian dari kontrak sebelum berlakunya Peraturan Pemerintah ini, pengenaan Pajak Penghasilan dilaksanakan berdasarkan Peraturan Pemerintah Nomor 51 TAHUN 2008 tentang Pajak Penghasilan atas Penghasilan dari Usaha Jasa Konstruksi sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 40 TAHUN 2009 tentang Perubahan atas Peraturan Pemerintah Nomor 51 TAHUN 2008 tentang Pajak Penghasilan atas Penghasilan dari Usaha Jasa Konstruksi; b. untuk pembayaran kontrak atau bagian dari kontrak terhitung sejak Peraturan Pemerintah ini berlaku, pengenaan Pajak Penghasilan dilaksanakan berdasarkan Peraturan Pemerintah ini	Pasal 11 PP 9 2022 ya mas: Terhadap kontrak yang ditandatangani sebelum Peraturan Pemerintah ini diundangkan berlaku ketentuan sebagai berikut: a. untuk pembayaran kontrak atau bagian dari kontrak sebelum berlakunya Peraturan Pemerintah ini, pengenaan Pajak Penghasilan dilaksanakan berdasarkan Peraturan Pemerintah Nomor 51 TAHUN 2008 tentang Pajak Penghasilan atas Penghasilan dari Usaha Jasa Konstruksi sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 40 TAHUN 2009 tentang Perubahan atas Peraturan Pemerintah Nomor 51 TAHUN 2008 tentang Pajak Penghasilan atas Penghasilan dari Usaha Jasa Konstruksi; b. untuk pembayaran kontrak atau bagian dari kontrak terhitung sejak Peraturan Pemerintah ini berlaku, pengenaan Pajak Penghasilan dilaksanakan berdasarkan Peraturan Pemerintah ini	RIGAR TABAH PRIMADANA
184730	05 Januari 2022	Tanya-SC	E-Faktur	FP tidak muncul barcodenya ?	Pastikan sudah approval sukses Klik PDF buka preview Cek di monitoring Jika sudah aman tetap tidak muncul , bisa ke KPP	Pastikan sudah approval sukses Klik PDF buka preview Cek di monitoring Jika sudah aman tetap tidak muncul , bisa ke KPP	ELFAN FAUZI AKBAR
184731	05 Januari 2022	Tanya-SC	E-Faktur	Error e-Faktur ETAX 30005: Object Mapping	Tambahkan Kolom Nomor_Dokumen_Pendukung pada Skema Impor Faktur Pajak	Tambahkan Kolom Nomor_Dokumen_Pendukung pada Skema Impor Faktur Pajak	ELFAN FAUZI AKBAR
184732	17 Juni 2022	Tanya-SC	PPh	@kring_pajak Halo kring pajak, kalau mau buat bupot pph 23 dan pph 4(2) serta lapor SPT pph tersebut untuk masa November dan Desember tahun 2021, bisa lewat mana ya? mas/mba izin bertanya, jika pada masa tersebut wp belum menggunakan unifikasi maka bisa lapor spt normal menggunakan espt 4(2) ya, kalau untuk pelaporan spt normal pph 23 nya apakah ke ebupot biasa? atau ebupot biasa ini hanya bisa untuk pembetulan saja? https://twitter.com/adism_/status/1537368795647705088	Di awal bisa ditanya dulu mbak itu untuk lapor normal atau pembetulan. Apabila di Nov dan Desember 2021 belum wajib lapor unifikasi dan WP belum pake unifikasi, maka untuk pemenuhan kewajiban yg belum dilaksanakan masih bisa pake ketentuan yg lama, jadi masih bisa pake eSPT dan ebupot pph 23 untuk lapor normal/pembetulannya.	Di awal bisa ditanya dulu mbak itu untuk lapor normal atau pembetulan. Apabila di Nov dan Desember 2021 belum wajib lapor unifikasi dan WP belum pake unifikasi, maka untuk pemenuhan kewajiban yg belum dilaksanakan masih bisa pake ketentuan yg lama, jadi masih bisa pake eSPT dan ebupot pph 23 untuk lapor normal/pembetulannya.	RIGAR TABAH PRIMADANA
184733	06 Januari 2022	Tanya-SC	DJP Online	download impor excel ebupot?	bisa diunduh di bagian kiri pada petunjuk pengisian	bisa diunduh di bagian kiri pada petunjuk pengisian	ELFAN FAUZI AKBAR
184734	17 Juni 2022	Tanya-SC	PPN	selamat sore min saya izin bertanya, jika instasi pemerintah berencana melakukan instalasi listrik dengan rincian belanja sebagai berikut, itu yg dikenakan pph 23 dan ppn yg mana saja ya, atau dari jumlah total itu di kenakan pph 23 dan ppn semua ya? Terimakasih https://twitter.com/SapiHalu/status/1537358553841008641	Untuk PPh 23, apabila jasa yang diberikan masuk dalam PMK 141/2015 maka dipotong PPh 23. Pasal 1 ayat 6 huruf y Jasa instalasi/pemasangan mesin, peralatan, listrik, telepon, air, gas, AC, dan/atau TV kabel, selain yang dilakukan oleh Wajib Pajak yang ruang lingkupnya di bidang konstruksi dan mempunyai izin dan/atau sertifikasi sebagai pengusaha konstruksi. Terkait yang dikenakan nanti bisa dijelaskan mengenai definisi jumlah bruto sesuai pasal 1 ayat (3) PMK-141/2015. Untuk PPN, jasa pemasangan/instalasi listrik tidak masuk non JKP di pasal 4A UU PPN, seharusnya tetap objek PPN. Untuk DPP atas penyerahan JKP menggunakan nilai penggantian, bisa dijelaskan definisi nilai penggantian Pasal 1 angka 19 UU PPN. Karena yang menggunakan jasa instansi pemerintah, bisa jelaskan juga transaksi yg PPN-nya tidak dipungut IP sesuai pasal 18 PMK-59/2022.	Untuk PPh 23, apabila jasa yang diberikan masuk dalam PMK 141/2015 maka dipotong PPh 23. Pasal 1 ayat 6 huruf y Jasa instalasi/pemasangan mesin, peralatan, listrik, telepon, air, gas, AC, dan/atau TV kabel, selain yang dilakukan oleh Wajib Pajak yang ruang lingkupnya di bidang konstruksi dan mempunyai izin dan/atau sertifikasi sebagai pengusaha konstruksi. Terkait yang dikenakan nanti bisa dijelaskan mengenai definisi jumlah bruto sesuai pasal 1 ayat (3) PMK-141/2015. Untuk PPN, jasa pemasangan/instalasi listrik tidak masuk non JKP di pasal 4A UU PPN, seharusnya tetap objek PPN. Untuk DPP atas penyerahan JKP menggunakan nilai penggantian, bisa dijelaskan definisi nilai penggantian Pasal 1 angka 19 UU PPN. Karena yang menggunakan jasa instansi pemerintah, bisa jelaskan juga transaksi yg PPN-nya tidak dipungut IP sesuai pasal 18 PMK-59/2022.	RIGAR TABAH PRIMADANA
184735	06 Januari 2022	Tanya-SC	PPN	ketentuan pengkreditan PM?	sepanjang tidak memenuhi pasal 9 ayat 8 UU PPN sttd UU HPP, maka bisa dikreditkan	sepanjang tidak memenuhi pasal 9 ayat 8 UU PPN sttd UU HPP, maka bisa dikreditkan	ELFAN FAUZI AKBAR
184736	17 Juni 2022	Tanya-SC	PPh	wp op ada deposito th 2012, sudah diikutkan TA tp lupa dimasukin spt th 2020, ini ga perlu ikut pps lagi kan ya? Boleh diarahin untuk pembetulan aja spt 2020?	Sesuai FAQ update 18 Maret 2022 https://pajak.go.id/pps, atas harta perolehan 2015 kebawah yang sudah diikutkan TA namun lupa dimasukkan di SPT 2016-2020, Wajib Pajak masih memiliki pilihan untuk melakukan pembetulan SPT Tahunan PPh untuk mengungkapkan harta yang belum dilaporkan, gapapa kalo mau disampaikan pembetulan SPT.	Sesuai FAQ update 18 Maret 2022 https://pajak.go.id/pps, atas harta perolehan 2015 kebawah yang sudah diikutkan TA namun lupa dimasukkan di SPT 2016-2020, Wajib Pajak masih memiliki pilihan untuk melakukan pembetulan SPT Tahunan PPh untuk mengungkapkan harta yang belum dilaporkan, gapapa kalo mau disampaikan pembetulan SPT.	RIGAR TABAH PRIMADANA
184737	06 Januari 2022	Tanya-SC	PPh	Cabang apakah tetap lapor SPT masa PPh 21?	tetap lapor. yang dikecualikan dari pelaporan ketika statusnya nihil kecuali masa desember tetap wajib lapor	tetap lapor. yang dikecualikan dari pelaporan ketika statusnya nihil kecuali masa desember tetap wajib lapor	ELFAN FAUZI AKBAR
184738	17 Juni 2022	Tanya-SC	E-Faktur	https://twitter.com/hiibrodi/status/1537623379041103873 @kring_pajak jika nomer faktur pajak tidak urut dengan tanggal faktur apakah diperbolehkan ? ( tgl acak nomer urut )	Penggunaan NSFP tidak urut tidak masalah mas, yg diatur adalah NSFP digunakan untuk pembuatan Faktur Pajak mulai tanggal surat pemberian NSFP atau sesuai dengan tahun peruntukan yang tercantum dalam surat pemberian NSFP dimaksud (pasal 17 PER-03/2022).	Penggunaan NSFP tidak urut tidak masalah mas, yg diatur adalah NSFP digunakan untuk pembuatan Faktur Pajak mulai tanggal surat pemberian NSFP atau sesuai dengan tahun peruntukan yang tercantum dalam surat pemberian NSFP dimaksud (pasal 17 PER-03/2022).	RIGAR TABAH PRIMADANA
184739	06 Januari 2022	Tanya-SC	E-Faktur	FP 070. REJECT: Etax API 10030 Dokumen bukan merupakan penyerahan BKP atau JKP	pastikan ke bc dokumennya adalah dokumen penyerahan bkp/jkp bukan penyerahan lainnya	pastikan ke bc dokumennya adalah dokumen penyerahan bkp/jkp bukan penyerahan lainnya	ELFAN FAUZI AKBAR
184740	06 Januari 2022	Tanya-SC	PPN	PKP pedagang emas apakah masih pakai 1111 DM?	sudah tidak pakai 1111 DM	sudah tidak pakai 1111 DM	ELFAN FAUZI AKBAR
184741	06 Januari 2022	Tanya-SC	E-SPT	gabisa pilih tahun pada saat buat spt di espt tahunan badan?	coba bukanya pakai espt tahunan badan versi 2009, tetapi create csv nya di aplikasi yang 2010	coba bukanya pakai espt tahunan badan versi 2009, tetapi create csv nya di aplikasi yang 2010	ELFAN FAUZI AKBAR
184742	20 Juni 2022	Tanya-SC	KUP	apakah cetak ulang kartu NPWP, NPWP NE harus aktif dahulu?	di per-04/2020 dan di se-27/2020 gak diatur tri, kalo memang misal KPP meminta demikian, bisa diaktifkan dulu saja. Nanti apabila masih memenuhi kriteria NE, bisa diajukan kembali Permohonan penetapan Wajib Pajak Non-Efektif	di per-04/2020 dan di se-27/2020 gak diatur tri, kalo memang misal KPP meminta demikian, bisa diaktifkan dulu saja. Nanti apabila masih memenuhi kriteria NE, bisa diajukan kembali Permohonan penetapan Wajib Pajak Non-Efektif	RIGAR TABAH PRIMADANA
184743	20 Juni 2022	Tanya-SC	E-Faktur	WP awalnya bertanya bagaimana untuk mengubah masa PM masukan yang dikeditkan dengan status sudah approval success. Nah kalau seperti itu kan sudah tidak bisa diubah ya. Kebetulan SPTnya juga sudah dilaporkan. Berarti tinggal pembetulan aja ya? Harusnya masa 5 tetapi di upload masa 3, sehingga lebih bayarnya berbeda. Terima kasih	iyaa mbak betul, untuk ubah masa pengkreditan PMnya gak bisa krn udah approval sukses, misal harusnya masa 5 tapi dikreditinnya ke masa 3, dan masa 3 udah dilaporkan maka silakan bisa pembetulan masa 3 nanti bisa dikompensasi.	iyaa mbak betul, untuk ubah masa pengkreditan PMnya gak bisa krn udah approval sukses, misal harusnya masa 5 tapi dikreditinnya ke masa 3, dan masa 3 udah dilaporkan maka silakan bisa pembetulan masa 3 nanti bisa dikompensasi.	RIGAR TABAH PRIMADANA
184744	06 Januari 2022	Tanya-SC	E-Faktur	ganti identitas NPWP di faktur pajak apakah bisa pengganti?	gabisa pengganti kalau ganti npwp. secara aplikasi bisa nya hanya batal, terus rekam FP lagi. tetapi silakan konfirmasi ke KPP juga ya	gabisa pengganti kalau ganti npwp. secara aplikasi bisa nya hanya batal, terus rekam FP lagi. tetapi silakan konfirmasi ke KPP juga ya	ELFAN FAUZI AKBAR
184745	20 Juni 2022	Tanya-SC	PPh	menurut Pasal 15 ayat 3 PMK 196.pmk.03/2021 kan mengatur bahwa deklarasi harta DN tdk dapat dialihkan di LN selama kurun waktu 5 tahun, bagaimana jika harta tsb dalam hal ini semisal tabungan / kas yang nantinya akan digunakan untuk keperluan sekolah atau pendidikan apakah bisa?	Jika untuk harta deklarasi dalam negeri dan tidak untuk di investasikan, tidak dilarang Ibu/Bapak untuk dialihkan di dalam negeri, yang diatur atau tidak boleh apabila di alihkan ke luar negeri, namun karena tidak disebutkan di pasal 15 ayat 3 nya kita menyarankan juga untuk konsultasi KPP	Jika untuk harta deklarasi dalam negeri dan tidak untuk di investasikan, tidak dilarang Ibu/Bapak untuk dialihkan di dalam negeri, yang diatur atau tidak boleh apabila di alihkan ke luar negeri, namun karena tidak disebutkan di pasal 15 ayat 3 nya kita menyarankan juga untuk konsultasi KPP	RIGAR TABAH PRIMADANA
184746	20 Juni 2022	Tanya-SC	E-Faktur	saya mau tanya jika kami ada beli barang dari Jepang, kami terima di kantor kami di Jakarta lalu kami jual kpd customer (customer alamat NPWP di jakarta tapi barang dikirim ke alamat di Batam/ bukan cabang dari customer kami tersebut). apakah kami tetap menerbitkan Faktur Pajak?	Yang beli PT Jakarta dikirimkan ke PT lain yg ada di Batam, mirip kasus sesuai FAQ yg subcont, karena dikirim ke bukan pembeli sesungguhnya dan pembeli sesungguhnya adalah PT yg di jakarta maka alamat yang dicantumkan adalah alamat PT Jakarta dengan memperhatikan ketentuan pengisian alamat pasal 6 per-03/2022.	Yang beli PT Jakarta dikirimkan ke PT lain yg ada di Batam, mirip kasus sesuai FAQ yg subcont, karena dikirim ke bukan pembeli sesungguhnya dan pembeli sesungguhnya adalah PT yg di jakarta maka alamat yang dicantumkan adalah alamat PT Jakarta dengan memperhatikan ketentuan pengisian alamat pasal 6 per-03/2022.	RIGAR TABAH PRIMADANA
184747	06 Januari 2022	Tanya-SC	E-Faktur	FP 070. REJECT: Etax API 10030 Dokumen bukan merupakan penyerahan BKP atau JKP	pastikan ke bc dokumennya adalah dokumen penyerahan bkp/jkp bukan penyerahan lainnya	pastikan ke bc dokumennya adalah dokumen penyerahan bkp/jkp bukan penyerahan lainnya	ELFAN FAUZI AKBAR
184748	20 Juni 2022	Tanya-SC	E-Faktur	https://twitter.com/ardeheheliahaha/status/1537730599267356673 ini kalo kode fp 08, dilaporkan mah tetep dilaporkan kan ya? Cuma gak bisa dikreditkan gak sih? Atau apakah perlu digali dulu yg dimaksud wp ini apakah bisa dikreditkan atau bagaimana? Mohon pencerahannya, mas/mba. Terima kasih	Iya mas apabila menerima fp 08 itu kan ppn nya dibebaskan, jadi seharusnya tidak ada ppn yg dikreditkan oleh pembeli karena memang pembeli/pengguna jasa tidak dipungut ppn. Tapi atas PM yg dapat fasilitas tetap dilaporkan di lampiran B3 SPT masa PPN sesuai lamp per-29/2015, jadi tetap dilaporkan ya mas.	Iya mas apabila menerima fp 08 itu kan ppn nya dibebaskan, jadi seharusnya tidak ada ppn yg dikreditkan oleh pembeli karena memang pembeli/pengguna jasa tidak dipungut ppn. Tapi atas PM yg dapat fasilitas tetap dilaporkan di lampiran B3 SPT masa PPN sesuai lamp per-29/2015, jadi tetap dilaporkan ya mas.	RIGAR TABAH PRIMADANA
184749	06 Januari 2022	Tanya-SC	DJP Online	implementasi nasional ebupot aturannya dimana?	KEP 368/2020	KEP 368/2020	ELFAN FAUZI AKBAR
184750	06 Januari 2022	Tanya-SC	PPN	SSP PPN JLN apakah bisa di pbk?	bisa sepanjang memenuhi ND 1225	bisa sepanjang memenuhi ND 1225	ELFAN FAUZI AKBAR
